COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
78,3990.26,4182.56,4008.21,4627.69,3879.49,3977.44,4027.69,4010.77,4008.72,3989.23,4098.97,3996.92,3937.95,4022.56,2044,2037,8.575,0,0,0,0,
79,4001.03,4098.97,4014.36,4612.82,3876.92,3986.15,4035.38,4017.95,4009.23,3977.95,4104.62,4002.56,3861.03,4027.69,2044,2036,8.582,0,0,0,0,
80,4009.23,4031.79,4025.64,4588.21,3882.56,3985.64,4047.18,4041.03,4025.64,4013.33,4126.15,4017.95,3815.9,4043.59,2043,2035,8.59,0,0,0,0,
81,4005.13,3960.51,4027.18,4555.9,3888.21,3990.26,4055.9,4048.72,4029.23,4011.79,4132.31,4020.51,3761.03,4045.64,2042,2034,8.598,0,0,0,0,
82,4010.77,3889.23,4032.31,4533.85,3898.46,4004.1,4058.97,4040,4022.56,3992.82,4141.54,4021.54,3688.21,4050.26,2041,2033,8.606,0,0,0,0,
83,4030.26,3846.67,4039.49,4517.95,3917.44,4005.64,4064.1,4049.23,4031.79,4012.82,4160,4033.85,3638.97,4066.67,2042,2030,8.614,0,0,0,0,
84,4032.82,3813.33,4036.41,4491.28,3928.21,4000.51,4073.85,4074.36,4046.15,4035.38,4170.26,4041.03,3609.23,4071.28,2042,2025,8.622,0,0,0,0,
85,4024.62,3767.69,4036.41,4470.26,3920.51,3995.38,4083.08,4090.26,4050.26,4026.67,4168.72,4041.03,3566.67,4068.72,2044,2023,8.631,0,0,0,0,
86,4035.38,3737.95,4045.64,4461.54,3914.36,3990.77,4086.15,4092.82,4052.82,4025.13,4172.31,4050.77,3528.72,4077.44,2044,2023,8.638,0,0,0,0,
87,4047.69,3728.72,4050.77,4444.62,3918.97,3990.77,4086.67,4093.85,4052.31,4030.26,4172.82,4067.18,3513.33,4087.18,2044,2023,8.645,0,0,0,0,
88,4053.85,3716.92,4062.05,4431.79,3934.87,3993.33,4094.87,4108.21,4051.79,4018.46,4176.92,4080,3507.69,4098.97,2045,2033,8.653,0,0,0,0,
89,4069.74,3701.54,4078.46,4428.72,3940.51,3991.28,4107.18,4133.33,4062.05,4017.95,4189.23,4090.26,3501.54,4118.46,2047,2036,8.661,0,0,0,0,
90,4080.51,3681.03,4076.92,4409.23,3924.1,3990.26,4109.74,4139.49,4060,4022.56,4187.18,4096.92,3488.21,4121.54,2047,2040,8.669,0,0,0,0,
91,4075.38,3659.49,4074.36,4382.56,3908.72,3990.77,4106.67,4136.41,4052.31,4016.41,4181.03,4097.44,3472.82,4113.85,2046,2040,8.677,0,0,0,0,
92,4080,3648.72,4088.21,4377.95,3917.95,3986.67,4110.77,4154.36,4062.05,4016.92,4191.79,4100.51,3473.85,4123.59,2046,2041,8.685,0,0,0,0,
