COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
71,4001.54,4035.38,4025.13,4072.82,4140.51,4160.51,3989.74,3962.05,4118.97,4002.56,4071.28,3969.74,4071.79,4096.92,1979,2078,2.628,0,0,0,0,
72,4005.13,4046.67,4029.23,4075.9,4146.15,4151.28,3994.36,3980,4130.77,4010.26,4084.62,3958.46,4070.26,4097.95,1988,2078,2.635,0,0,0,0,
73,3990.26,4029.74,4015.38,4065.64,4148.21,4153.85,3989.74,3964.1,4120.51,3985.64,4072.31,3938.97,4060.51,4088.21,2005,2082,2.646,0,0,0,0,
74,3978.46,4022.56,4006.15,4060,4147.18,4162.05,3976.92,3941.03,4095.9,3961.03,4043.08,3924.1,4046.15,4071.79,2014,2082,2.652,0,0,0,0,
75,3993.33,4043.59,4020,4071.79,4170.77,4167.18,3984.62,3951.79,4109.74,3990.26,4053.33,3939.49,4050.26,4082.56,2023,2082,2.659,0,0,0,0,
76,4009.74,4046.15,4029.74,4077.95,4177.95,4168.21,3990.77,3974.87,4149.23,4021.03,4076.41,3967.18,4064.62,4106.15,2035,2082,2.666,0,0,0,0,
77,4018.97,4049.74,4038.46,4081.54,4174.87,4170.26,3994.87,3977.95,4137.44,3999.49,4075.9,3971.79,4069.74,4111.79,2038,2078,2.674,0,0,0,0,
78,4012.31,4058.46,4035.38,4078.97,4163.59,4168.21,3994.36,3957.95,4095.38,3976.92,4054.36,3948.21,4055.9,4090.77,2045,2070,2.682,0,0,0,0,
79,3992.31,4035.38,4014.87,4064.1,4127.18,4162.56,3971.28,3940,4091.28,3972.82,4038.46,3931.28,4040,4069.74,2049,2062,2.689,0,0,0,0,
80,4004.1,4028.72,4025.64,4070.77,4136.41,4169.74,3975.38,3950.26,4112.82,3986.15,4060,3957.44,4063.08,4093.33,2057,2057,2.697,0,0,0,0,
81,4030.26,4059.49,4050.77,4089.74,4189.23,4179.49,4010.26,3972.82,4128.21,4010.26,4081.03,3988.21,4094.87,4125.64,2061,2058,2.706,0,0,0,0,
82,4011.28,4056.41,4031.28,4078.97,4170.26,4166.67,3994.87,3961.03,4131.79,4011.79,4050.77,3969.23,4078.46,4103.59,2066,2061,2.713,0,0,0,0,
83,3985.13,4021.54,4006.15,4061.03,4127.69,4160.51,3961.03,3935.9,4115.38,3985.13,4022.56,3942.56,4055.38,4074.36,2068,2061,2.721,0,0,0,0,
84,4008.72,4030.77,4026.67,4069.23,4147.69,4174.36,3980.51,3954.87,4111.79,3963.08,4050.26,3961.54,4070.26,4101.03,2068,2057,2.729,0,0,0,0,
85,4025.64,4047.69,4036.92,4069.74,4149.23,4170.26,3995.9,3979.49,4136.41,3987.69,4059.49,3981.54,4080,4118.46,2068,2053,2.743,0,0,0,0,
86,4001.03,4022.05,4015.9,4062.05,4106.67,4158.97,3971.79,3958.46,4131.79,4020.51,4024.1,3962.05,4072.31,4096.41,2068,2051,2.745,0,0,0,0,
87,3993.33,4014.87,4013.85,4069.74,4110.77,4166.15,3966.67,3939.49,4111.28,3991.28,4016.92,3952.31,4075.9,4092.31,2070,2047,2.757,0,0,0,0,
88,4020.51,4046.15,4037.44,4078.97,4161.54,4186.15,3992.82,3959.49,4118.97,3953.85,4040,3976.41,4083.08,4106.67,2070,2044,2.76,0,0,0,0,
89,4029.74,4054.87,4040.51,4080,4189.74,4205.64,3996.41,3963.08,4115.38,3970.77,4034.36,3981.54,4081.03,4107.18,2073,2039,2.769,0,0,0,0,
90,4024.1,4043.59,4030.77,4078.46,4178.97,4198.97,3977.95,3948.21,4102.56,3987.69,4016.41,3966.67,4085.64,4106.67,2074,2038,2.777,0,0,0,0,
91,4034.87,4044.1,4038.97,4077.44,4149.23,4171.28,3975.38,3958.97,4116.41,3973.33,4027.69,3973.33,4097.44,4110.26,2076,2039,2.785,0,0,0,0,
92,4030.77,4037.95,4033.33,4072.31,4127.18,4171.28,3975.9,3958.97,4116.41,3965.13,4030.77,3973.85,4091.79,4095.9,2077,2037,2.791,0,0,0,0,
93,4014.87,4029.74,4016.41,4066.15,4149.23,4196.41,3967.69,3944.62,4106.15,3976.92,4017.95,3956.92,4082.05,4086.15,2074,2035,2.799,0,0,0,0,
94,4018.46,4032.31,4020,4061.03,4162.56,4187.69,3966.67,3946.15,4118.46,3986.67,4018.97,3954.87,4086.67,4095.38,2072,2033,2.807,0,0,0,0,
95,4020,4018.97,4021.03,4054.87,4099.49,4163.59,3964.1,3952.31,4123.59,3972.82,4021.54,3957.44,4083.08,4087.69,2070,2035,2.815,0,0,0,0,
