COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
5,4297.95,4242.56,4298.46,4297.95,4297.95,4297.95,4245.13,4287.69,4241.03,4267.18,4259.49,4298.46,4286.15,4243.59,2060,1329,8.938,0,0,0,0,
6,4427.69,4414.36,4428.21,4428.21,4427.69,4427.69,4429.23,4430.26,4407.18,4445.13,4448.72,4428.21,4429.74,4424.1,2059,1331,8.948,0,0,0,0,
7,3134.87,3405.13,3133.85,3133.33,3134.87,3134.87,3346.15,3172.82,3429.74,3212.31,3238.46,3133.33,3172.82,3376.92,2060,1331,8.958,0,0,0,0,
8,1047.69,1708.72,1046.15,1045.64,1047.69,1047.69,1520.51,1155.9,1784.62,1234.36,1253.33,1045.64,1151.79,1618.97,2062,1333,8.968,0,0,0,0,
9,322.564,1249.74,322.051,321.538,322.051,322.051,1024.62,507.179,1338.46,694.872,702.564,321.538,503.077,1145.64,2059,1341,8.978,0,0,0,0,
10,643.59,1649.23,644.103,644.615,643.077,643.59,1460,860,1729.74,1108.21,1133.85,643.59,872.821,1557.95,2057,1347,8.978,0,0,0,0,
11,596.923,1578.46,596.923,597.436,597.436,596.923,1389.74,808.718,1664.1,1012.82,1048.72,595.385,835.897,1475.9,2055,1361,8.988,0,0,0,0,
12,475.897,1442.56,473.846,473.846,476.41,475.897,1239.49,696.41,1528.21,878.974,907.179,472.821,715.897,1333.33,2054,1370,8.998,0,0,0,0,
13,617.949,1601.03,614.872,613.846,616.923,617.436,1408.21,846.667,1678.46,1054.36,1084.1,614.359,862.051,1503.08,2054,1391,9.008,0,0,0,0,
14,654.872,1618.46,651.282,652.821,656.923,656.41,1428.21,875.897,1695.9,1073.33,1102.05,652.308,901.026,1517.95,2053,1409,9.008,0,0,0,0,
15,650.769,1601.54,647.692,646.667,657.949,654.872,1408.21,882.051,1680.51,1073.85,1099.49,647.179,906.154,1495.38,2054,1453,9.018,0,0,0,0,
16,657.949,1612.82,656.41,648.718,660.513,658.462,1423.59,890.256,1694.87,1084.62,1113.85,648.205,901.026,1511.28,2062,1481,9.028,0,0,0,0,
17,662.051,1597.95,661.538,657.436,658.462,658.462,1419.49,891.282,1684.1,1075.38,1106.15,651.282,900,1503.08,2082,1568,9.038,0,0,0,0,
18,660.513,1605.13,658.974,662.051,658.462,657.436,1429.23,898.974,1690.26,1088.72,1123.59,652.308,921.026,1511.79,2091,1632,9.048,0,0,0,0,
19,660,1602.56,658.974,657.436,660,657.949,1419.49,907.179,1687.18,1092.31,1124.1,654.359,936.923,1507.69,2106,1775,9.048,0,0,0,0,
20,661.026,1601.54,661.026,654.359,658.974,657.949,1414.87,909.231,1687.18,1091.28,1124.62,658.462,918.462,1506.15,2123,1845,9.058,0,0,0,0,
21,661.026,1604.62,661.026,656.923,658.462,657.949,1420,914.872,1687.18,1094.87,1132.82,661.026,906.667,1514.36,2119,1910,9.068,0,0,0,0,
22,660.513,1608.21,660,655.385,659.487,657.949,1424.1,921.538,1688.72,1106.15,1148.72,658.974,923.077,1530.26,2137,2071,9.078,0,0,0,0,
23,661.026,1604.62,660.513,654.872,660.513,657.949,1423.59,923.077,1689.74,1115.38,1163.08,658.974,915.385,1541.54,2145,2128,9.088,0,0,0,0,
24,660.513,1600,660,658.974,659.487,657.949,1422.05,921.026,1689.23,1122.56,1175.38,661.026,884.615,1548.72,2136,2171,9.088,0,0,0,0,
25,659.487,1604.1,660,661.538,659.487,657.949,1421.03,922.051,1689.23,1126.67,1174.87,660.513,888.205,1549.23,2135,2201,9.098,0,0,0,0,
26,658.462,1603.08,660,660.513,660.513,657.949,1418.46,931.282,1689.23,1124.1,1162.56,660,908.205,1536.92,2103,2212,9.108,0,0,0,0,
27,661.026,1592.31,660,660,661.026,657.949,1409.74,931.282,1689.23,1124.1,1151.28,660.513,897.436,1521.54,2076,2188,9.118,0,0,0,0,
28,660.513,1583.59,660,660.513,660.513,657.436,1398.97,920,1687.18,1124.62,1142.56,660,889.744,1511.28,2033,2127,9.128,0,0,0,0,
29,660.513,1585.13,660,660,660.513,657.436,1392.82,922.051,1687.69,1123.59,1150.26,660,903.59,1516.92,2024,2120,9.128,0,0,0,0,
30,680.513,1592.31,660,659.487,660.513,657.949,1398.46,942.051,1687.69,1131.28,1166.15,660,905.128,1544.1,2026,2147,9.138,0,0,0,0,
31,711.795,1600,660,660,660.513,656.923,1409.23,954.872,1687.18,1140.51,1174.36,660,898.974,1577.44,2028,2260,9.148,0,0,0,0,
32,710.256,1606.15,660,660,660.513,655.897,1413.33,951.282,1695.38,1140.51,1181.54,660,918.462,1597.44,2028,2332,9.158,0,0,0,0,
33,675.897,1607.69,660,660,660.513,659.487,1419.49,952.308,1705.64,1145.13,1186.15,660,959.487,1590.26,2038,2513,9.158,0,0,0,0,
34,649.231,1611.79,660,660,660.513,661.538,1429.74,962.564,1704.62,1156.41,1177.95,660,996.41,1559.49,2035,2573,9.168,0,0,0,0,
35,644.103,1626.15,660,660,660.513,664.103,1445.64,975.897,1703.08,1162.05,1171.79,660,1028.72,1559.49,1987,2346,9.178,0,0,0,0,
36,682.564,1640,660,660,660.513,670.769,1447.69,987.179,1711.28,1162.05,1183.59,660,1046.15,1617.95,1996,2205,9.188,0,0,0,0,
37,777.949,1647.69,660,660,660.513,680.513,1451.79,1009.23,1717.44,1153.85,1214.36,660,1033.85,1691.28,2031,1971,9.198,0,0,0,0,
38,913.333,1671.28,660,659.487,660.513,716.41,1533.33,1074.36,1733.33,1162.56,1237.44,660,1037.95,1800.51,2043,1941,9.198,0,0,0,0,
39,1070.26,1680,660.513,659.487,660.513,757.949,1576.41,1108.21,1746.15,1191.79,1234.36,660,1025.64,1895.9,2056,1940,9.208,0,0,0,0,
40,1117.44,1634.87,660,660,660,740.513,1495.9,1060.51,1730.77,1182.56,1256.41,660,933.846,1818.97,2066,1964,9.218,0,0,0,0,
41,924.615,1591.28,660,659.487,661.538,698.974,1509.74,1076.41,1724.1,1154.87,1278.97,660,892.308,1648.72,2071,1982,9.228,0,0,0,0,
42,684.615,1600,662.564,660,664.615,689.231,1600.51,1137.44,1741.54,1176.41,1236.92,660.513,1002.56,1594.87,2054,2016,9.238,0,0,0,0,
43,636.41,1617.95,664.103,662.051,666.154,681.538,1508.72,1057.44,1744.62,1211.28,1207.69,660,1118.97,1620,2043,2022,9.243,0,0,0,0,
44,671.795,1621.03,663.077,663.59,665.641,671.795,1361.54,933.333,1725.13,1203.08,1246.15,659.487,1131.79,1626.67,2035,2044,9.247,0,0,0,0,
45,653.333,1635.38,663.077,663.59,665.641,683.59,1370.26,965.128,1711.79,1188.21,1266.15,662.564,1105.64,1682.56,2041,2046,9.26,0,0,0,0,
46,644.103,1644.62,663.59,663.59,665.641,691.795,1395.9,1053.85,1702.05,1184.62,1245.64,665.128,1071.28,1753.33,2056,2009,9.26,0,0,0,0,
47,662.051,1628.21,663.59,663.59,665.641,697.949,1389.23,1074.87,1697.44,1181.03,1246.15,664.103,1024.1,1715.9,2060,1980,9.27,0,0,0,0,
48,664.615,1605.64,663.59,663.59,665.641,720.513,1435.38,1058.97,1711.28,1193.85,1253.33,663.077,995.385,1608.72,2053,1975,9.28,0,0,0,0,
49,663.077,1602.05,663.59,663.59,665.641,732.308,1474.36,1031.79,1726.15,1214.36,1246.15,664.615,991.795,1551.28,2054,1994,9.29,0,0,0,0,
50,664.103,1617.95,663.59,663.59,665.641,733.333,1480,1019.49,1729.23,1218.97,1233.33,664.615,1004.1,1577.44,2059,2016,9.3,0,0,0,0,
51,662.564,1625.13,663.59,663.59,665.641,745.128,1477.44,1037.95,1715.9,1209.74,1221.03,664.103,1022.05,1618.97,2051,2046,9.3,0,0,0,0,
52,663.077,1624.62,663.59,663.59,665.641,755.385,1462.05,1067.69,1704.1,1199.49,1221.03,664.615,1040,1628.72,2040,2045,9.31,0,0,0,0,
53,663.077,1631.28,663.59,663.59,665.641,760.513,1448.21,1081.54,1703.08,1196.92,1227.69,664.615,1054.87,1616.41,2027,2033,9.32,0,0,0,0,
54,663.59,1632.82,663.59,663.59,665.641,768.718,1447.69,1070.26,1703.08,1204.62,1240,664.103,1059.49,1598.97,2030,2026,9.33,0,0,0,0,
55,663.59,1623.59,663.59,663.59,665.641,769.744,1455.9,1056.41,1709.23,1221.03,1255.9,664.103,1032.82,1582.56,2044,2019,9.34,0,0,0,0,
56,663.59,1622.56,663.59,663.59,665.641,771.795,1466.15,1050.26,1722.05,1233.33,1259.49,664.103,993.846,1578.97,2051,2023,9.34,0,0,0,0,
57,663.59,1629.23,663.59,663.59,665.641,782.051,1470.77,1050.26,1722.56,1232.82,1251.79,664.615,1005.13,1583.08,2055,2025,9.35,0,0,0,0,
58,663.59,1629.23,663.59,663.59,665.641,790.256,1471.28,1059.49,1708.21,1226.15,1249.23,664.615,1064.1,1576.92,2052,2025,9.36,0,0,0,0,
59,663.59,1631.79,663.59,663.59,665.641,797.436,1471.28,1074.87,1703.08,1224.1,1252.31,664.103,1096.41,1568.21,2046,2019,9.37,0,0,0,0,
